package,status,declaration_version,runtime_package,export_signature_pairs,unique_declarations,distinct_exports,generic_declarations,own_generic_declarations,both_polarities_declarations,first_order_potential_declarations,entry_diagnostic_count,retained_diagnostic_count,exclusion_count,identity,container-element,value-to-container,multiple-arguments,constrained-generic,higher-order,overload-or-discriminated,unsupported
"react-dragula","extracted","1.1.9999","react-dragula","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"react-dual-listbox","extracted-with-diagnostics","6.0.9999","react-dual-listbox","6","3","6","3","1","0","0","1","1","0","0","0","0","0","0","0","0","3"
"react-dynamic-number","extracted-with-diagnostics","1.7.9999","react-dynamic-number","5","5","4","5","1","0","0","1","1","0","0","0","0","0","0","0","2","5"
"react-easy-chart","extracted-with-diagnostics","0.1.9999","react-easy-chart","30","5","24","5","1","0","0","1","1","1","0","0","0","0","0","0","2","5"
"react-edit-text","extracted-with-diagnostics","5.0.9999","react-edit-text","10","5","8","5","1","0","0","1","1","0","0","0","0","0","0","0","2","5"
"react-elemental","extracted-with-diagnostics","1.2.9999","","86","7","70","6","1","0","0","1","1","0","0","0","0","0","0","0","2","7"
"react-ellipsis-with-tooltip","extracted-with-diagnostics","1.1.9999","react-ellipsis-with-tooltip","5","5","4","5","1","0","0","1","1","0","0","0","0","0","0","0","2","5"
"react-elm-components","extracted-with-diagnostics","1.0.9999","react-elm-components","10","7","10","5","1","0","0","1","1","0","0","0","0","0","0","0","0","7"
"react-event-listener","extracted-with-diagnostics","0.4.9999","react-event-listener","6","6","5","6","2","1","0","1","1","0","0","0","0","0","0","1","2","5"
"react-expand-animated","extracted-with-diagnostics","1.0.9999","react-expand-animated","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0"
"react-fa","extracted-with-diagnostics","4.1.9999","react-fa","3","1","3","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1"
"react-facebook-login","extracted-with-diagnostics","4.1.9999","react-facebook-login","7","6","6","5","1","0","0","1","1","0","0","0","0","0","0","0","2","6"
"react-facebook-login-component","extracted-with-diagnostics","4.1.9999","react-facebook-login-component","7","6","6","5","1","0","0","1","1","0","0","0","0","0","0","0","2","6"
"react-faux-dom","extracted-with-diagnostics","4.1.9999","react-faux-dom","12","12","12","1","1","0","0","1","1","0","0","0","0","0","0","0","0","12"
"react-file-icon","extracted-with-diagnostics","1.0.9999","react-file-icon","1","1","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1"
