package,status,export_signature_pairs,selected_entries,extracted_entries,missing_entries,diagnostics
angular-bootstrap-calendar,extracted-with-diagnostics,0,1,1,0,1
angular-bootstrap-lightbox,extracted,0,1,1,0,0
angular-breadcrumb,extracted,0,1,1,0,0
angular-clipboard,extracted,1,1,1,0,0
angular-cookie,extracted,0,1,1,0,0
angular-cookies,extracted,0,1,1,0,0
angular-deferred-bootstrap,extracted,0,1,1,0,0
angular-desktop-notification,extracted,0,1,1,0,0
angular-dialog-service,extracted,0,1,1,0,0
angular-environment,extracted,0,1,1,0,0
angular-es,extracted,15,1,1,0,0
angular-feature-flags,extracted,0,1,1,0,0
angular-file-saver,extracted,0,1,1,0,0
angular-file-upload,extracted,61,1,1,0,0
angular-formly,extracted,7,1,1,0,0
angular-fullscreen,extracted,0,1,1,0,0
angular-gettext,extracted,0,1,1,0,0
angular-google-analytics,extracted,0,1,1,0,0
angular-gridster,extracted,0,1,1,0,0
angular-growl-v2,extracted,0,1,1,0,0
angular-hotkeys,extracted,0,1,1,0,0
angular-http-auth,extracted,0,1,1,0,0
angular-httpi,extracted,0,1,1,0,0
angular-idle,extracted,0,1,1,0,0
angular-jwt,extracted,0,1,1,0,0
angular-load,extracted,0,1,1,0,0
angular-loading-bar,extracted,0,1,1,0,0
angular-local-storage,extracted,0,1,1,0,0
angular-localforage,extracted-with-diagnostics,0,1,1,0,2
angular-locker,extracted,0,1,1,0,0
angular-material,extracted,0,1,1,0,0
angular-media-queries,extracted,0,1,1,0,0
angular-meteor,extracted-with-diagnostics,0,1,1,0,8
angular-mocks,extracted,0,1,1,0,0
angular-modal,extracted,0,1,1,0,0
angular-notifications,extracted,0,1,1,0,0
angular-notify,extracted,0,1,1,0,0
angular-oauth2,extracted,0,1,1,0,0
angular-odata-resources,extracted,0,1,1,0,0
angular-pdfjs-viewer,extracted,0,1,1,0,0
angular-permission,extracted,0,1,1,0,0
angular-promise-tracker,extracted,0,1,1,0,0
angular-q-extras,extracted,0,1,1,0,0
angular-q-spread,extracted,0,1,1,0,0
angular-resource,extracted,0,1,1,0,0
angular-route,extracted,0,1,1,0,0
angular-sanitize,extracted,0,1,1,0,0
angular-scenario,extracted,0,1,1,0,0
angular-scroll,extracted,0,1,1,0,0
angular-signalr-hub,extracted,0,1,1,0,0
angular-spinner,extracted,0,1,1,0,0
angular-storage,extracted,0,1,1,0,0
angular-strap,extracted,0,1,1,0,0
angular-toastr,extracted,0,1,1,0,0
angular-toasty,extracted,0,1,1,0,0
angular-tooltips,extracted,1,1,1,0,0
angular-translate,extracted,0,1,1,0,0
angular-ui-bootstrap,extracted,0,1,1,0,0
angular-ui-notification,extracted,0,1,1,0,0
angular-ui-router,extracted,0,1,1,0,0
angular-ui-scroll,extracted,0,1,1,0,0
angular-ui-sortable,extracted,0,1,1,0,0
angular-ui-tree,extracted,0,1,1,0,0
angular-websocket,extracted,1,1,1,0,0
angular-wizard,extracted,0,1,1,0,0
angular-xeditable,extracted,0,1,1,0,0
angular.throttle,extracted,0,1,1,0,0
angularfire,extracted-with-diagnostics,0,1,1,0,28
angularjs-dragula,extracted,1,1,1,0,0
angularlocalstorage,extracted,0,1,1,0,0
angulartics,extracted,38,1,1,0,0
animals,extracted,1,1,1,0,0
animated_gif,extracted,20,1,1,0,0
animation-frame,extracted,0,1,1,0,0
anime-quotes-api,extracted,2,1,1,0,0
animejs,extracted,23,1,1,0,0
annyang,extracted,15,1,1,0,0
ansi,extracted-with-diagnostics,115,1,1,0,5
ansi-align,extracted,8,1,1,0,0
ansi-diff-stream,extracted-with-diagnostics,73,1,1,0,5
ansi-escape-sequences,extracted,12,1,1,0,0
ansi-html,extracted,6,1,1,0,0
ansicolors,extracted,35,1,1,0,0
antlr4-autosuggest,extracted-with-diagnostics,3,1,1,0,1
any-base,extracted,2,1,1,0,0
any-db,extracted-with-diagnostics,129,1,1,0,5
any-db-transaction,extracted-with-diagnostics,25,1,1,0,5
anylogic-cloud-client,extracted,0,1,1,0,0
anyproxy,extracted-with-diagnostics,971,1,1,0,5
aos,extracted,6,1,1,0,0
apca-w3,extracted,6,1,1,0,0
apex.js,extracted-with-diagnostics,1,1,1,0,1
api-error-handler,extracted-with-diagnostics,1,1,1,0,5
apicache,extracted-with-diagnostics,9,1,1,0,6
apidoc,extracted,1,1,1,0,0
apigee-access,extracted,14,1,1,0,0
apimocker,extracted-with-diagnostics,12,1,1,0,5
apollo-upload-client,extracted-with-diagnostics,4,4,4,0,6
apostrophe,extracted,60,1,1,0,0
app-module-path,extracted,3,1,1,0,0
app-root-dir,extracted,4,1,1,0,0
appcache-webpack-plugin,extracted-with-diagnostics,9,1,1,0,6
appdmg,extracted-with-diagnostics,18,1,1,0,5
appdynamics,extracted,1,1,1,0,0
append-query,extracted,1,1,1,0,0
appframework,extracted,0,1,1,0,0
appgeist__ensure-dir,extracted,1,1,1,0,0
apple-mapkit,extracted,315,1,1,0,0
apple-mapkit-js-browser,extracted,0,1,1,0,0
apple-music-api,extracted,0,1,1,0,0
apple-signin-api,extracted,0,1,1,0,0
applepayjs,extracted,0,1,1,0,0
applest-atem,extracted-with-diagnostics,108,1,1,0,5
appletvjs,extracted,0,1,1,0,0
approximate-number,extracted,1,1,1,0,0
apptimize__apptimize-web-sdk,extracted,47,1,1,0,0
aqb,extracted,48,1,1,0,0
arangodb,extracted-with-diagnostics,114,1,1,0,5
arbiter,extracted,0,1,1,0,0
arc4,extracted-with-diagnostics,3,1,1,0,5
arcgis-rest-api,extracted,0,1,1,0,0
arcgis-to-geojson-utils,extracted,2,1,1,0,0
architect,extracted-with-diagnostics,21,1,1,0,5
architect__sandbox,extracted,17,1,1,0,0
architect__utils,extracted,5,1,1,0,0
archiver,extracted-with-diagnostics,7661,1,1,0,5
archy,extracted,2,1,1,0,0
arconnect,extracted-with-diagnostics,0,1,1,0,2
are-we-there-yet,extracted-with-diagnostics,2232,1,1,0,5
are.na,extracted,10,1,1,0,0
argon2-browser,extracted,3,1,1,0,0
argparse,extracted,34,1,1,0,0
args,extracted,8,1,1,0,0
argv,extracted,8,1,1,0,0
ari-client,extracted-with-diagnostics,24652,1,1,0,5
aria-query,extracted,25,1,1,0,0
arr-diff,extracted,1,1,1,0,0
arr-union,extracted,1,1,1,0,0
